Ship_ID,Lightyears_Traveled,Registration_Status
7316814884,40.6106759335055,Refurbished
7316814758,66.15355115953352,Imperial Certified
7316814989,10.84438755185827,Refurbished
7316743432,29.57609402843187,Refurbished
7316356412,122.11167105564981,Refurbished
7316343444,50.032016831688395,Refurbished
7316304717,18.39343696211802,Imperial Certified
7316285779,25.673117413772726,Imperial Certified
7316257769,13.685444425468464,Imperial Certified
7316133914,19.67391211526725,Imperial Certified
7316130053,251.28539102607644,Stolen
7315816316,18.706668961085033,Imperial Certified
7315770394,32.80915038934928,Refurbished
7315756348,22.49563027567499,Imperial Certified
7315715960,12.133290831303922,Refurbished
7315379459,5.483335218209864,Imperial Certified
7315275975,33.826087315163555,Imperial Certified
7315275942,1.3235845816020058,Imperial Certified
7315270785,30.890258449066632,Imperial Certified
7314910156,13.561460273233427,Refurbished
7314854462,17.48822857868294,Imperial Certified
7314811916,15.326172053646918,Imperial Certified
7314811909,8.395148651379813,Refurbished
7314584296,36.253076252726004,Smuggler Logic
7314584315,1.4028258379797194,Imperial Certified
7314584322,7.26565684091847,Imperial Certified
7314584291,8.511568388023175,Imperial Certified
7314560853,56.660130792306084,Smuggler Logic
7313857831,36.063834185638974,Refurbished
7313857767,9.831703215022813,Imperial Certified
7313857701,29.43323378716557,Imperial Certified
7313406529,90.47438289097039,Refurbished
7313387888,21.69491005704211,Imperial Certified
7313387902,68.08364449352544,Unknown
7313337060,8.919621765569104,Refurbished
7313319521,11.165157752932428,Refurbished
7312858079,16.81772391124809,Imperial Certified
7312847466,134.31830587978985,Smuggler Logic
7312824400,4.6276964291271065,Imperial Certified
7312799035,37.04504663161974,Imperial Certified
7312754093,20.633773522011783,Refurbished
7312342653,35.75133919637515,Refurbished
7312342811,36.97736999499433,Imperial Certified
7312337810,47.142962603959816,Refurbished
7312313815,26.355176571319536,Refurbished
7312144944,100.26309385519572,Refurbished
7311960895,6.180291875651367,Imperial Certified
7311818339,26.875836728837264,Imperial Certified
7311818189,46.27644852733607,Imperial Certified
7311818157,7.204423506842523,Imperial Certified
7311409434,11.35449751352622,Imperial Certified
7311351407,5.831014069167628,Imperial Certified
7311327726,27.80553426862223,Imperial Certified
7311310782,5.2186762163272,Imperial Certified
7310905283,43.09537746342389,Refurbished
7310848060,16.530260242093256,Imperial Certified
7310803539,0.014366979841132513,Imperial Certified
7310798664,0.956002825379175,Imperial Certified
7310644616,277.10888031664416,Smuggler Logic
7310383361,37.14775302635687,Refurbished
7310332383,4.798572004156337,Imperial Certified
7310308166,9.188205255327189,Imperial Certified
7310276274,15.54210512131237,Imperial Certified
7309876037,11.582421853086435,Imperial Certified
7309828117,89.78088785883091,Refurbished
7309827921,26.383427034693025,Imperial Certified
7309828053,19.880400376833943,Imperial Certified
7309798041,164.7910892707635,Smuggler Logic
7309271051,69.52193000149883,Imperial Certified
7309229548,7.532344434923915,Imperial Certified
7309192232,28.10558930227063,Imperial Certified
7309160821,80.3687585494273,Stolen
7308779719,12.701760479700301,Imperial Certified
7308779686,9.055964660099292,Imperial Certified
7308745779,24.50414341758522,Imperial Certified
7308730136,4.914408669120387,Imperial Certified
7308365829,20.808635906069807,Imperial Certified
7308255063,2.4784130757764617,Stolen
7308217002,7.120808602884254,Refurbished
7308216849,13.100465708990468,Imperial Certified
7307730503,35.46397630479118,Smuggler Logic
7307218858,15.273722309584755,Imperial Certified
7307164168,70.5124210856771,Imperial Certified
7307164193,15.313037248972373,Imperial Certified
7307142186,33.40606871283516,Imperial Certified
7306701617,21.719677925099692,Imperial Certified
7306676175,22.6694644871876,Imperial Certified
7306676124,4.33562021015794,Imperial Certified
7306625443,4.884731995389201,Refurbished
7306407989,175.34782217873504,Imperial Certified
7306259907,155.08795189625968,Scrap
7306238443,17.12785136023114,Imperial Certified
7306178510,4.3512913229530366,Imperial Certified
7306147932,9.648658340744678,Imperial Certified
7306095627,7.53613606419178,Imperial Certified
7305666455,2.702552526470523,Imperial Certified
7305631654,15.002543964365321,Imperial Certified
7305631581,13.27085638673704,Imperial Certified
7305578496,22.008528014510134,Imperial Certified
7305186870,21.402065682388482,Imperial Certified
7305150035,17.18011276951474,Imperial Certified
7305149985,0.6997602906765454,Imperial Certified
7304785580,377.75799757173235,Stolen
7304685581,0.9439028360394187,Imperial Certified
7304685502,34.08067857485035,Imperial Certified
7304646033,27.357217250483902,Unknown
7304645998,26.766392789124126,Imperial Certified
7304184221,20.17346621995735,Imperial Certified
7304158673,23.07149786656729,Imperial Certified
7304134738,31.125116084266352,Imperial Certified
7304111898,32.51147877958753,Imperial Certified
7303661415,84.72097420584343,Imperial Certified
7303661350,56.90790692596701,Imperial Certified
7303606749,9.010698645622117,Imperial Certified
7303606702,82.4427189565969,Imperial Certified
7303236380,21.767489462743765,Refurbished
7303130875,21.75880330436468,Imperial Certified
7303065930,25.821889008974683,Imperial Certified
7303065864,11.382898867648002,Imperial Certified
7302597055,37.150102998878985,Imperial Certified
7302537601,0.929021325502513,Imperial Certified
7302537532,0.04184635820386241,Imperial Certified
7302327214,24.07515101011219,Imperial Certified
7302286548,38.48531316653078,Imperial Certified
7302108846,53.8633982310903,Refurbished
7302062793,11.088132246652265,Refurbished
7302043460,8.86412266082583,Imperial Certified
7302000016,8.363641105931872,Imperial Certified
7301673626,26.337851890027626,Imperial Certified
7301673609,8.997660606303679,Imperial Certified
7301647209,32.358332449613606,Imperial Certified
7301624602,8.957977175971756,Imperial Certified
7316878036,121.68108292085398,Imperial Certified
7316874816,150.34866595568062,Imperial Certified
7316872263,66.36856245092594,Imperial Certified
7316871664,112.13061938137749,Smuggler Logic
7316871204,194.4192780668168,Imperial Certified
7316870942,167.08710295743847,Scrap
